d1,d2,d3,d4
30,30,30,30
30,30,30,40
30,30,30,50
30,30,30,60
30,30,30,70
30,30,30,80
30,30,40,30
30,30,40,40
30,30,40,50
30,30,40,60
30,30,40,70
30,30,40,80
30,30,50,30
30,30,50,40
30,30,50,50
30,30,50,60
30,30,50,70
30,30,50,80
30,30,60,30
30,30,60,40
30,30,60,50
30,30,60,60
30,30,60,70
30,30,60,80
30,30,70,30
30,30,70,40
30,30,70,50
30,30,70,60
30,30,70,70
30,30,70,80
30,30,80,30
30,30,80,40
30,30,80,50
30,30,80,60
30,30,80,70
30,30,80,80
30,40,30,30
30,40,30,40
30,40,30,50
30,40,30,60
30,40,30,70
30,40,30,80
30,40,40,30
30,40,40,40
30,40,40,50
30,40,40,60
30,40,40,70
30,40,40,80
30,40,50,30
30,40,50,40
30,40,50,50
30,40,50,60
30,40,50,70
30,40,50,80
30,40,60,30
30,40,60,40
30,40,60,50
30,40,60,60
30,40,60,70
30,40,60,80
30,40,70,30
30,40,70,40
30,40,70,50
30,40,70,60
30,40,70,70
30,40,70,80
30,40,80,30
30,40,80,40
30,40,80,50
30,40,80,60
30,40,80,70
30,40,80,80
30,50,30,30
30,50,30,40
30,50,30,50
30,50,30,60
30,50,30,70
30,50,30,80
30,50,40,30
30,50,40,40
30,50,40,50
30,50,40,60
30,50,40,70
30,50,40,80
30,50,50,30
30,50,50,40
30,50,50,50
30,50,50,60
30,50,50,70
30,50,50,80
30,50,60,30
30,50,60,40
30,50,60,50
30,50,60,60
30,50,60,70
30,50,60,80
30,50,70,30
30,50,70,40
30,50,70,50
30,50,70,60
30,50,70,70
30,50,70,80
30,50,80,30
30,50,80,40
30,50,80,50
30,50,80,60
30,50,80,70
30,50,80,80
30,60,30,30
30,60,30,40
30,60,30,50
30,60,30,60
30,60,30,70
30,60,30,80
30,60,40,30
30,60,40,40
30,60,40,50
30,60,40,60
30,60,40,70
30,60,40,80
30,60,50,30
30,60,50,40
30,60,50,50
30,60,50,60
30,60,50,70
30,60,50,80
30,60,60,30
30,60,60,40
30,60,60,50
30,60,60,60
30,60,60,70
30,60,60,80
30,60,70,30
30,60,70,40
30,60,70,50
30,60,70,60
30,60,70,70
30,60,70,80
30,60,80,30
30,60,80,40
30,60,80,50
30,60,80,60
30,60,80,70
30,60,80,80
30,70,30,30
30,70,30,40
30,70,30,50
30,70,30,60
30,70,30,70
30,70,30,80
30,70,40,30
30,70,40,40
30,70,40,50
30,70,40,60
30,70,40,70
30,70,40,80
30,70,50,30
30,70,50,40
30,70,50,50
30,70,50,60
30,70,50,70
30,70,50,80
30,70,60,30
30,70,60,40
30,70,60,50
30,70,60,60
30,70,60,70
30,70,60,80
30,70,70,30
30,70,70,40
30,70,70,50
30,70,70,60
30,70,70,70
30,70,70,80
30,70,80,30
30,70,80,40
30,70,80,50
30,70,80,60
30,70,80,70
30,70,80,80
30,80,30,30
30,80,30,40
30,80,30,50
30,80,30,60
30,80,30,70
30,80,30,80
30,80,40,30
30,80,40,40
30,80,40,50
30,80,40,60
30,80,40,70
30,80,40,80
30,80,50,30
30,80,50,40
30,80,50,50
30,80,50,60
30,80,50,70
30,80,50,80
30,80,60,30
30,80,60,40
30,80,60,50
30,80,60,60
30,80,60,70
30,80,60,80
30,80,70,30
30,80,70,40
30,80,70,50
30,80,70,60
30,80,70,70
30,80,70,80
30,80,80,30
30,80,80,40
30,80,80,50
30,80,80,60
30,80,80,70
30,80,80,80
40,30,30,30
40,30,30,40
40,30,30,50
40,30,30,60
40,30,30,70
40,30,30,80
40,30,40,30
40,30,40,40
40,30,40,50
40,30,40,60
40,30,40,70
40,30,40,80
40,30,50,30
40,30,50,40
40,30,50,50
40,30,50,60
40,30,50,70
40,30,50,80
40,30,60,30
40,30,60,40
40,30,60,50
40,30,60,60
40,30,60,70
40,30,60,80
40,30,70,30
40,30,70,40
40,30,70,50
40,30,70,60
40,30,70,70
40,30,70,80
40,30,80,30
40,30,80,40
40,30,80,50
40,30,80,60
40,30,80,70
40,30,80,80
40,40,30,30
40,40,30,40
40,40,30,50
40,40,30,60
40,40,30,70
40,40,30,80
40,40,40,30
40,40,40,40
40,40,40,50
40,40,40,60
40,40,40,70
40,40,40,80
40,40,50,30
40,40,50,40
40,40,50,50
40,40,50,60
40,40,50,70
40,40,50,80
40,40,60,30
40,40,60,40
40,40,60,50
40,40,60,60
40,40,60,70
40,40,60,80
40,40,70,30
40,40,70,40
40,40,70,50
40,40,70,60
40,40,70,70
40,40,70,80
40,40,80,30
40,40,80,40
40,40,80,50
40,40,80,60
40,40,80,70
40,40,80,80
40,50,30,30
40,50,30,40
40,50,30,50
40,50,30,60
40,50,30,70
40,50,30,80
40,50,40,30
40,50,40,40
40,50,40,50
40,50,40,60
40,50,40,70
40,50,40,80
40,50,50,30
40,50,50,40
40,50,50,50
40,50,50,60
40,50,50,70
40,50,50,80
40,50,60,30
40,50,60,40
40,50,60,50
40,50,60,60
40,50,60,70
40,50,60,80
40,50,70,30
40,50,70,40
40,50,70,50
40,50,70,60
40,50,70,70
40,50,70,80
40,50,80,30
40,50,80,40
40,50,80,50
40,50,80,60
40,50,80,70
40,50,80,80
40,60,30,30
40,60,30,40
40,60,30,50
40,60,30,60
40,60,30,70
40,60,30,80
40,60,40,30
40,60,40,40
40,60,40,50
40,60,40,60
40,60,40,70
40,60,40,80
40,60,50,30
40,60,50,40
40,60,50,50
40,60,50,60
40,60,50,70
40,60,50,80
40,60,60,30
40,60,60,40
40,60,60,50
40,60,60,60
40,60,60,70
40,60,60,80
40,60,70,30
40,60,70,40
40,60,70,50
40,60,70,60
40,60,70,70
40,60,70,80
40,60,80,30
40,60,80,40
40,60,80,50
40,60,80,60
40,60,80,70
40,60,80,80
40,70,30,30
40,70,30,40
40,70,30,50
40,70,30,60
40,70,30,70
40,70,30,80
40,70,40,30
40,70,40,40
40,70,40,50
40,70,40,60
40,70,40,70
40,70,40,80
40,70,50,30
40,70,50,40
40,70,50,50
40,70,50,60
40,70,50,70
40,70,50,80
40,70,60,30
40,70,60,40
40,70,60,50
40,70,60,60
40,70,60,70
40,70,60,80
40,70,70,30
40,70,70,40
40,70,70,50
40,70,70,60
40,70,70,70
40,70,70,80
40,70,80,30
40,70,80,40
40,70,80,50
40,70,80,60
