PT1,PT2,PT3,PT4,PT5,PT6,PT7,PT8,PT9,PT10,PT11,PT12,PT13,PT14,PT15,PT16,PT17,PT18,PT19,PT20,PT21,PT22,PT23,PT24,PT25,PT26,PT27,PT28,PT29,PT30,PT31,PT32,PT33,PT34,PT35,PT36,PT37,PT38,PT39,PT40,PT41,PT42,PT43,PT44,PT45,PT46,PT47,PT48,PT49,PT50,PT51,PT52,PT53,PT54,PT55,PT56,PT57,PT58,PT59,PT60,PT61,PT62,PT63,PT64,PT65,PT66,PT67,PT68,PT69,PT70,PT71,PT72,PT73,PT74,PT75,PT76,PT77,PT78,PT79,PT80,PT81,PT82,PT83,PT84,PT85,PT86,PT87,PT88,PT89,PT90,PT91,PT92,PT93,PT94,PT95,PT96
0.102416998,0.000218867,0.282876929,0.396623984,0.352789962,0.366946977,0.402074053,0.417616544,0.407260147,0.38116825,0.368763254,0.322436621,0.309742869,0.301550685,0.269920487,0.261070454,0.258238952,0.225066967,0.22086616,0.211704417,0.196471592,0.184303675,0.174535299,0.150037715,0.145674828,0.14911448,0.128067995,0.113979998,0.136695716,0.117594119,0.112348874,0.105181653,0.101628978,0.094058771,0.09928511,0.105504606,0.084696373,0.07113568,0.084708808,0.090421493,0.069558233,0.068560509,0.062533782,0.078408842,0.062768069,0.041454209,0.067536295,0.068335184,0.045359141,0.057497165,0.053499249,0.045045676,0.045659449,0.039612001,0.055222665,0.050612734,0.054261809,0.034912446,0.035424729,0.022626127,0.01753417,0.020427082,0.037180195,0.026327884,0.026654702,0.035779611,0.02111254,0.010852291,0.039092006,0.031385047,0.032360225,0.032214469,0.02432666,0.032294268,0.035193848,0.038421923,0.00416339,0.020238072,0.026907507,0.028032107,0.029246006,0.016209402,0.02881102,0.010185848,0.021694353,0.031415245,0.016455544,0.024572085,0.02302676,0.024561905,0.019256284,0.013856148,0.007792739,0.021377306,0.018052964,0.021730671
0.174800192,0.00831658,0.199912644,0.345295479,0.357716129,0.374451464,0.399758215,0.411076823,0.406502758,0.385894995,0.376372708,0.340321086,0.328254464,0.318266178,0.290062989,0.28155049,0.275501116,0.248149559,0.241881998,0.233152218,0.217656554,0.203657139,0.193593563,0.175285258,0.168287007,0.169326074,0.149564782,0.136297768,0.153116898,0.136229015,0.130233678,0.122290256,0.119218786,0.109687627,0.111739334,0.116195636,0.100620597,0.088463286,0.097495769,0.09982185,0.082231189,0.081316393,0.076194707,0.08472491,0.07337333,0.056208183,0.074778188,0.073724867,0.059051469,0.065651965,0.064141249,0.057013678,0.055693927,0.050222129,0.05985236,0.05719329,0.05938608,0.045039312,0.044062326,0.036139774,0.029870132,0.032043767,0.043543125,0.034450607,0.036255892,0.041200257,0.03026669,0.02399433,0.042610717,0.038196705,0.036536442,0.036937366,0.031839608,0.036825003,0.037388494,0.03998645,0.014686021,0.025078461,0.031305104,0.030274938,0.030840633,0.023026915,0.031850408,0.01814267,0.026898773,0.032489256,0.02255088,0.025699148,0.02688241,0.027118787,0.023615387,0.018322448,0.015002747,0.023102664,0.020345193,0.023460718
0.296961932,0.033367743,0.08906042,0.265535552,0.35906503,0.393912842,0.41200303,0.416858982,0.417127259,0.400703429,0.393497217,0.368555349,0.357258694,0.345770332,0.320945898,0.311518222,0.301736679,0.280361045,0.271784785,0.264218173,0.247427436,0.23005614,0.220150439,0.208952068,0.199124165,0.196644972,0.178492773,0.164684079,0.174874341,0.160917129,0.153875326,0.145190432,0.142534325,0.130645281,0.127822234,0.130147711,0.120902095,0.110215778,0.114813824,0.112563985,0.098528363,0.0974728,0.093508743,0.092844946,0.088081489,0.074989904,0.083849484,0.081017472,0.076430341,0.076259414,0.077543133,0.071742957,0.067362438,0.063195859,0.065458891,0.065775366,0.066353455,0.058356318,0.05524958,0.053221263,0.045659298,0.046901751,0.051894726,0.044860407,0.048168199,0.047607566,0.040951673,0.040246521,0.046507416,0.046931209,0.04213066,0.043008457,0.041371436,0.043425731,0.039681098,0.041796206,0.027956506,0.032036642,0.037358484,0.033528382,0.032458898,0.031915651,0.036020164,0.02817101,0.03357582,0.033931855,0.030310254,0.027172121,0.031879255,0.030459706,0.029141741,0.02427657,0.024135362,0.025084832,0.022929522,0.025797826
0.426204253,0.098777848,0.012828544,0.177291329,0.333960383,0.400866474,0.42538325,0.430049586,0.434899298,0.422589439,0.416910494,0.400708235,0.390263754,0.378384293,0.356736459,0.345729362,0.333283365,0.31619504,0.305256692,0.298519748,0.280686867,0.261008005,0.251056179,0.244183141,0.232737195,0.226527838,0.2102711,0.195589051,0.199601402,0.187960731,0.179910583,0.171049457,0.167879527,0.154996438,0.147858244,0.147755558,0.142702573,0.133568924,0.134475882,0.128544114,0.117513382,0.115775643,0.112332455,0.105157956,0.105430792,0.095439975,0.095754044,0.092196493,0.094360917,0.089300986,0.091540865,0.086911077,0.080011236,0.077015802,0.073955826,0.076406923,0.075531257,0.072512097,0.067941618,0.069471965,0.061904305,0.061936155,0.06173683,0.056633538,0.060323257,0.055134108,0.052005985,0.055296858,0.052064721,0.055822338,0.049276714,0.05034717,0.050813766,0.05112028,0.043759158,0.045228356,0.040862643,0.040649685,0.044206419,0.038629305,0.035566937,0.040906749,0.041540243,0.037987822,0.040309682,0.037020505,0.037640465,0.030773481,0.037197472,0.034888954,0.034986437,0.031390724,0.033019539,0.02827053,0.026876202,0.029213385
0.509787705,0.198715092,0.003355205,0.104360051,0.280506809,0.380703137,0.425391264,0.440054799,0.450524006,0.444600984,0.440066996,0.429114585,0.419278919,0.407702134,0.389483113,0.377584402,0.363896449,0.349661467,0.335543316,0.328393867,0.31114118,0.292669752,0.281472376,0.274554379,0.263381535,0.253878145,0.240019606,0.226078141,0.22412791,0.213271708,0.204553592,0.196416381,0.191188475,0.179813786,0.171176152,0.168032757,0.1633614,0.156272823,0.153100998,0.146216719,0.137716148,0.134952847,0.130687307,0.122087674,0.122636415,0.115491338,0.110135368,0.107287697,0.110564066,0.104001804,0.104392811,0.101132847,0.09377206,0.090565677,0.085976774,0.088512025,0.086184591,0.085144255,0.08084683,0.081839586,0.076327797,0.074796319,0.072070611,0.068775082,0.071561801,0.063676605,0.063215022,0.066750677,0.060078505,0.06328891,0.057330872,0.058462086,0.058589602,0.058208757,0.050625582,0.050850604,0.051420858,0.049528004,0.050588798,0.045220095,0.0407189,0.048318086,0.048083458,0.046110803,0.045939471,0.042207677,0.042966465,0.037215335,0.041954639,0.040304465,0.040561785,0.039110044,0.040324324,0.032978268,0.032884986,0.033450122
0.518037496,0.296033536,0.052654774,0.068399425,0.218998252,0.339386013,0.409743064,0.44253074,0.460170721,0.463264565,0.460140704,0.451427156,0.442429434,0.431677646,0.416637417,0.405083841,0.391665995,0.378726947,0.361869571,0.353115644,0.337749122,0.323128854,0.309973801,0.29965893,0.289972768,0.278482869,0.26679914,0.25482412,0.248257185,0.23679809,0.227753895,0.2206703,0.2124736,0.204062554,0.196606986,0.190439934,0.183217793,0.177746765,0.170880916,0.165560515,0.158418031,0.15476884,0.148585309,0.142626267,0.139561657,0.134449937,0.127020979,0.125464669,0.125445828,0.120058666,0.117049167,0.114922895,0.108929944,0.104227178,0.101118242,0.101980649,0.098375491,0.096562292,0.093533597,0.091129446,0.088586254,0.085583379,0.082949206,0.080853336,0.082085035,0.073642748,0.074495383,0.075175508,0.070582562,0.070254967,0.066321312,0.067317535,0.065359166,0.064908203,0.060323283,0.058986088,0.059714748,0.058029055,0.056900605,0.053085863,0.048055419,0.054451258,0.055453695,0.052579659,0.051028338,0.049374653,0.047085709,0.045852974,0.046680846,0.046621145,0.046207164,0.046984281,0.046174097,0.039134177,0.040728226,0.038557588
0.154634433,0.016400251,0.225058079,0.33322555,0.318038525,0.334650418,0.363718417,0.378055632,0.372195073,0.353256517,0.344018541,0.309450846,0.296902506,0.287114493,0.261860016,0.253258444,0.24752258,0.221503336,0.215193039,0.205102564,0.191959971,0.181214782,0.171058744,0.151947278,0.145494977,0.146275375,0.128237587,0.118019544,0.132358736,0.116485919,0.111232834,0.103778348,0.100994106,0.093232421,0.096449163,0.100450932,0.084630841,0.074027602,0.081790183,0.084821957,0.069543268,0.067831405,0.063109494,0.074015541,0.0603261,0.045179791,0.064720176,0.063789056,0.04622862,0.054879583,0.051843151,0.045305443,0.046050153,0.040930179,0.051528966,0.047166006,0.049547848,0.034662837,0.035100879,0.026130701,0.021433459,0.023472818,0.035191822,0.027030561,0.027643043,0.034766751,0.024261153,0.015608597,0.036391611,0.03020389,0.030903101,0.030249883,0.024742279,0.029531334,0.032351005,0.034509279,0.008512739,0.019543444,0.024450834,0.025975669,0.02730028,0.01653922,0.02526622,0.012156728,0.02057457,0.027458472,0.017044669,0.022531512,0.021708539,0.022639572,0.018286333,0.013664899,0.009519113,0.020024705,0.016810356,0.019358958
0.286475052,0.04137314,0.10708963,0.250889516,0.321774956,0.355539617,0.375087156,0.381289029,0.380247704,0.365552584,0.358970849,0.335662224,0.324128583,0.31266928,0.290978408,0.281422638,0.271839354,0.252287228,0.243399247,0.234660181,0.2201626,0.206067284,0.195928629,0.184334466,0.175072722,0.172350974,0.156011904,0.145322462,0.152836589,0.139991199,0.133684621,0.125579199,0.123167041,0.113064284,0.111325113,0.113187514,0.103865179,0.094904531,0.097764222,0.096364087,0.084962673,0.083186911,0.079676376,0.080769836,0.073920367,0.063291688,0.072617286,0.069950442,0.063086624,0.064683378,0.064635962,0.059432993,0.057185965,0.053294024,0.056154198,0.055114302,0.055760953,0.047415608,0.045835623,0.043010738,0.037017701,0.038106467,0.042819144,0.036966879,0.039332167,0.040465333,0.034719781,0.031946304,0.039646426,0.038492743,0.03594147,0.035852547,0.034055262,0.035674699,0.033954195,0.035663236,0.021715074,0.026046534,0.030061951,0.028631185,0.028228677,0.02510023,0.029003814,0.022133166,0.027008194,0.02842198,0.024644707,0.023441018,0.026377876,0.025607596,0.02359894,0.019284491,0.018511226,0.021458084,0.01891978,0.021182536
0.440050851,0.112221934,0.026432635,0.161788779,0.300514524,0.366137804,0.39002573,0.393864505,0.397498391,0.386146374,0.381692791,0.366920408,0.356914272,0.345258332,0.326382219,0.314997219,0.303001908,0.287574562,0.276711161,0.269298953,0.253248008,0.23611281,0.226091732,0.219288172,0.20832211,0.20224984,0.187390171,0.175058241,0.177269232,0.166739192,0.159330926,0.150992639,0.148263266,0.13678501,0.130185494,0.130131583,0.125115535,0.117464574,0.117081018,0.111836458,0.103251021,0.100836153,0.0980843,0.091799301,0.090875419,0.083016534,0.083642623,0.080238016,0.080813318,0.0771905,0.078552505,0.074139104,0.069076443,0.066579402,0.063777338,0.065460085,0.064761783,0.061560821,0.058411321,0.059528243,0.053199951,0.053200984,0.052236579,0.04831429,0.051337144,0.047338006,0.045244378,0.04723185,0.044555809,0.04743928,0.04276023,0.043001414,0.043645694,0.04359212,0.037243515,0.038586272,0.034553536,0.034581769,0.036991113,0.033378337,0.030757953,0.034111897,0.034444327,0.032106022,0.033916239,0.031238175,0.032207496,0.026368411,0.031703796,0.029790022,0.029375107,0.026026245,0.027288778,0.024115459,0.022176652,0.024397183
0.560762605,0.223280036,0.01428967,0.088135433,0.250907145,0.350244627,0.392437728,0.403917916,0.413516565,0.407290804,0.404806542,0.395157383,0.386674264,0.375799646,0.359706845,0.347032584,0.334206362,0.321127268,0.307918081,0.300810681,0.284528369,0.267286745,0.256462392,0.250263661,0.23934401,0.230475377,0.217328619,0.204420242,0.202091087,0.192386722,0.184157302,0.176359423,0.171991541,0.161316596,0.152263185,0.149971761,0.145599399,0.139504522,0.136103619,0.129368505,0.122850456,0.119400943,0.116251133,0.107404152,0.108211348,0.102382962,0.097282429,0.094485208,0.097048815,0.091459971,0.091647437,0.088009068,0.08184864,0.079645775,0.074901606,0.077395559,0.075529129,0.074575926,0.071403259,0.072555561,0.067711797,0.066357182,0.062363469,0.060076578,0.062447656,0.055254189,0.055700903,0.059080488,0.051820784,0.055300433,0.050602072,0.051066902,0.051815871,0.051355759,0.043163206,0.043709996,0.045121139,0.043660274,0.043798756,0.039743192,0.035406919,0.041831388,0.041096991,0.040577926,0.039994541,0.036212166,0.038059898,0.032008682,0.036667476,0.034996986,0.034943011,0.03332098,0.034550188,0.028317656,0.02730205,0.028661022
